# Format: type,person_id,room_id,time_requested_at,start_time,end_time in seconds

B,1,1,6,7,8
B,1,1,1,5,12
B,2,2,2,6,14
B,3,3,3,4,9
B,4,4,4,10,18
B,5,5,5,8,16
B,6,2,6,7,13
B,7,2,6,9,11
B,8,1,7,11,15
B,9,1,8,13,17
C,2,2,15,0,0
B,10,2,11,12,18
B,11,3,12,14,20
C,1,1,13,0,0
B,12,1,14,15,19
B,13,4,20,22,28
B,14,5,21,24,30
B,15,2,22,25,30
B,16,3,23,26,31
B,17,1,24,27,32
B,18,2,26,25,29
B,19,2,26,26,29
B,20,2,26,27,29
B,21,3,40,42,48
B,22,4,42,45,50
B,23,5,44,46,52
C,15,2,46,0,0
B,24,2,47,48,52
B,25,1,70,72,80
B,26,2,72,74,79
B,27,3,75,76,82
B,28,4,78,79,84
B,29,5,80,81,86
B,30,1,85,86,90
B,31,2,100,102,108
B,32,3,103,104,109
B,33,4,106,107,112
B,34,5,108,109,113
B,35,1,110,111,114
B,36,2,5,60,61
B,37,3,6,61,62
B,38,4,7,62,63
B,39,5,8,63,64
B,40,1,9,64,65
B,41,2,119,119,120
